"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)","rain (mm)","raining (s)","SWDR (W/m2)","PAR (mumol/m^2/s)","max. PAR (mumol/m^2/s)","Tlog (degC)","CO2 (ppm)"
01.01.2018 00:10:00,  975.22,    9.59,  284.79,    4.85,   72.20,   11.96,    8.63,    3.32,    5.53,    8.85, 1197.49,    3.40,    5.29,  180.40,    0.00,    0.00,    0.00,    0.00,    0.00,   18.78,  412.00
01.01.2018 00:20:00,  975.16,    9.82,  285.02,    4.81,   70.90,   12.15,    8.61,    3.53,    5.51,    8.83, 1196.46,    3.38,    5.05,  175.10,    0.00,    0.00,    0.00,    0.00,    0.00,   18.72,  411.70
01.01.2018 00:30:00,  975.03,    9.91,  285.12,    4.75,   70.20,   12.22,    8.58,    3.64,    5.49,    8.80, 1195.93,    3.76,    6.97,  179.10,    0.00,    0.00,    0.00,    0.00,    0.00,   18.67,  411.10
01.01.2018 00:40:00,  974.88,    9.93,  285.16,    4.68,   69.77,   12.24,    8.54,    3.70,    5.47,    8.76, 1195.68,    3.03,    7.53,  183.40,    0.00,    0.00,    0.00,    0.00,    0.00,   18.63,  411.10
01.01.2018 00:50:00,  974.82,   10.08,  285.31,    4.63,   68.83,   12.36,    8.51,    3.85,    5.45,    8.73, 1194.99,    3.22,    6.01,  187.70,    0.00,    0.00,    0.00,    0.00,    0.00,   18.61,  411.00
01.01.2018 01:00:00,  974.75,   10.23,  285.47,    4.58,   67.89,   12.48,    8.48,    4.01,    5.43,    8.70, 1194.28,    2.82,    4.73,  198.20,    0.00,    0.00,    0.00,    0.00,    0.00,   18.60,  411.00
01.01.2018 01:10:00,  974.56,   10.38,  285.64,    4.55,   67.07,   12.61,    8.46,    4.15,    5.42,    8.68, 1193.43,    3.03,    4.43,  204.90,    0.00,    0.00,    0.00,    0.00,    0.00,   18.61,  410.60
01.01.2018 01:20:00,  974.51,   10.37,  285.63,    4.49,   66.82,   12.60,    8.42,    4.18,    5.39,    8.64, 1193.43,    2.78,    4.77,  193.30,    0.00,    0.00,    0.00,    0.00,    0.00,   18.64,  411.00
01.01.2018 01:30:00,  974.52,   10.49,  285.75,    4.44,   66.08,   12.70,    8.39,    4.31,    5.38,    8.61, 1192.95,    3.69,    8.13,  196.20,    0.00,    0.00,    0.00,    0.00,    0.00,   18.68,  410.70
01.01.2018 01:40:00,  974.41,   10.61,  285.88,    4.40,   65.37,   12.81,    8.37,    4.43,    5.36,    8.59, 1192.32,    3.69,    6.85,  190.10,    0.00,    0.00,    0.00,    0.00,    0.00,   18.71,  410.50
01.01.2018 01:50:00,  974.45,   10.50,  285.77,    4.38,   65.75,   12.71,    8.36,    4.35,    5.35,    8.58, 1192.83,    3.59,    7.41,  190.10,    0.00,    0.00,    0.00,    0.00,    0.00,   18.73,  410.50
01.01.2018 02:00:00,  974.43,   10.40,  285.67,    4.36,   66.09,   12.63,    8.35,    4.28,    5.34,    8.56, 1193.24,    2.59,    4.97,  181.20,    0.00,    0.00,    0.00,    0.00,    0.00,   18.74,  410.80
01.01.2018 02:10:00,  974.42,   10.49,  285.76,    4.39,   65.82,   12.70,    8.36,    4.34,    5.35,    8.58, 1192.84,    3.54,    6.13,  201.60,    0.00,    0.00,    0.00,    0.00,    0.00,   18.75,  410.60
01.01.2018 02:20:00,  974.61,   10.70,  285.96,    4.49,   65.38,   12.88,    8.42,    4.46,    5.39,    8.64, 1192.16,    3.86,    5.85,  201.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.76,  410.40
01.01.2018 02:30:00,  974.81,   10.81,  286.05,    4.56,   65.23,   12.98,    8.47,    4.51,    5.42,    8.68, 1191.92,    3.54,    7.65,  212.70,    0.00,    0.00,    0.00,    0.00,    0.00,   18.77,  410.20
01.01.2018 02:40:00,  975.08,   10.69,  285.91,    4.58,   65.85,   12.87,    8.48,    4.40,    5.43,    8.69, 1192.75,    1.88,    5.21,  238.60,    0.00,    0.00,    0.00,    0.00,    0.00,   18.78,  410.30
01.01.2018 02:50:00,  975.18,   10.66,  285.87,    4.63,   66.21,   12.85,    8.51,    4.34,    5.44,    8.72, 1192.99,    3.13,    7.41,  223.00,    0.00,    0.00,    0.00,    0.00,    0.00,   18.81,  410.10
01.01.2018 03:00:00,  975.30,   10.60,  285.80,    4.63,   66.48,   12.80,    8.51,    4.29,    5.44,    8.72, 1193.39,    2.21,    3.26,  226.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.85,  410.30
01.01.2018 03:10:00,  975.35,   10.55,  285.74,    4.64,   66.74,   12.75,    8.51,    4.24,    5.45,    8.73, 1193.66,    2.43,    5.07,  216.70,    0.00,    0.00,    0.00,    0.00,    0.00,   18.88,  410.50
01.01.2018 03:20:00,  975.37,   10.47,  285.66,    4.68,   67.29,   12.69,    8.54,    4.15,    5.46,    8.75, 1194.01,    2.27,    4.83,  210.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.92,  410.80
01.01.2018 03:30:00,  975.28,   10.47,  285.67,    4.70,   67.39,   12.69,    8.55,    4.14,    5.47,    8.77, 1193.89,    1.83,    2.92,  182.40,    0.00,    0.00,    0.00,    0.00,    0.00,   18.96,  411.20
01.01.2018 03:40:00,  975.27,   10.44,  285.64,    4.70,   67.49,   12.66,    8.55,    4.12,    5.47,    8.76, 1194.01,    2.04,    4.41,  240.60,    0.00,    0.00,    0.00,    0.00,    0.00,   19.02,  410.90
01.01.2018 03:50:00,  975.30,   10.45,  285.65,    4.66,   67.29,   12.67,    8.53,    4.14,    5.46,    8.74, 1194.01,    2.86,    6.61,  240.70,    0.00,    0.00,    0.00,    0.00,    0.00,   19.11,  410.60
01.01.2018 04:00:00,  975.48,   10.40,  285.58,    4.59,   67.19,   12.63,    8.48,    4.14,    5.43,    8.70, 1194.46,    4.12,    6.73,  225.90,    0.00,    0.00,    0.00,    0.00,    0.00,   19.17,  410.50
01.01.2018 04:10:00,  975.60,   10.36,  285.53,    4.45,   66.71,   12.59,    8.40,    4.19,    5.37,    8.61, 1194.82,    4.43,    7.53,  218.70,    0.00,    0.00,    0.00,    0.00,    0.00,   19.21,  410.30
01.01.2018 04:20:00,  975.64,   10.31,  285.48,    4.31,   66.28,   12.55,    8.32,    4.23,    5.32,    8.53, 1195.11,    4.12,    9.27,  225.50,    0.00,    0.00,    0.00,    0.00,    0.00,   19.23,  410.10
01.01.2018 04:30:00,  975.62,   10.19,  285.36,    4.24,   66.48,   12.45,    8.28,    4.17,    5.29,    8.48, 1195.62,    2.62,    5.21,  226.10,    0.00,    0.00,    0.00,    0.00,    0.00,   19.20,  410.10
01.01.2018 04:40:00,  975.61,   10.15,  285.32,    4.18,   66.34,   12.42,    8.24,    4.18,    5.27,    8.44, 1195.79,    3.95,    8.41,  218.10,    0.00,    0.00,    0.00,    0.00,    0.00,   19.17,  410.00
01.01.2018 04:50:00,  975.51,   10.06,  285.24,    3.99,   65.86,   12.34,    8.13,    4.21,    5.20,    8.33, 1196.10,    4.67,   10.25,  222.60,    0.00,    0.00,    0.00,    0.00,    0.00,   19.16,  409.80
01.01.2018 05:00:00,  975.65,    9.93,  285.09,    3.80,   65.57,   12.24,    8.02,    4.21,    5.13,    8.22, 1196.87,    4.81,    8.13,  227.60,    0.00,    0.00,    0.00,    0.00,    0.00,   19.12,  409.70
01.01.2018 05:10:00,  975.75,    9.88,  285.03,    3.57,   64.71,   12.20,    7.89,    4.30,    5.05,    8.09, 1197.26,    3.12,    8.25,  232.10,    0.00,    0.00,    0.00,    0.00,    0.00,   19.07,  409.70
01.01.2018 05:20:00,  975.79,    9.78,  284.93,    3.31,   63.98,   12.11,    7.75,    4.36,    4.96,    7.94, 1197.80,    2.52,    5.53,  227.80,    0.00,    0.00,    0.00,    0.00,    0.00,   19.00,  409.90
01.01.2018 05:30:00,  975.87,    9.73,  284.87,    2.99,   62.73,   12.07,    7.57,    4.50,    4.84,    7.76, 1198.19,    3.12,    5.73,  224.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.94,  409.70
01.01.2018 05:40:00,  976.00,    9.68,  284.81,    2.84,   62.28,   12.03,    7.49,    4.54,    4.79,    7.68, 1198.60,    2.19,    4.81,  236.10,    0.00,    0.00,    0.00,    0.00,    0.00,   18.89,  409.90
01.01.2018 05:50:00,  976.12,    9.50,  284.62,    2.71,   62.47,   11.89,    7.43,    4.46,    4.75,    7.61, 1199.55,    1.71,    5.85,  215.30,    0.00,    0.00,    0.00,    0.00,    0.00,   18.86,  410.00
01.01.2018 06:00:00,  976.21,    9.33,  284.44,    2.56,   62.51,   11.75,    7.35,    4.41,    4.69,    7.53, 1200.42,    1.96,    4.61,  207.30,    0.00,    0.00,    0.00,    0.00,    0.00,   18.84,  410.40
01.01.2018 06:10:00,  976.29,    9.16,  284.26,    2.42,   62.59,   11.62,    7.27,    4.35,    4.65,    7.45, 1201.27,    2.59,    6.81,  212.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.82,  410.30
01.01.2018 06:20:00,  976.41,    9.07,  284.16,    2.31,   62.49,   11.55,    7.22,    4.33,    4.61,    7.39, 1201.83,    2.64,    5.53,  222.10,    0.00,    0.00,    0.00,    0.00,    0.00,   18.79,  410.00
01.01.2018 06:30:00,  976.60,    8.86,  283.94,    2.11,   62.50,   11.38,    7.12,    4.27,    4.54,    7.29, 1203.01,    2.41,    5.21,  216.60,    0.00,    0.00,    0.00,    0.00,    0.00,   18.73,  410.20
01.01.2018 06:40:00,  976.63,    8.76,  283.83,    1.98,   62.34,   11.31,    7.05,    4.26,    4.50,    7.22, 1203.50,    2.56,    5.41,  215.90,    0.00,    0.00,    0.00,    0.00,    0.00,   18.63,  410.30
01.01.2018 06:50:00,  976.61,    8.69,  283.76,    1.89,   62.24,   11.25,    7.00,    4.25,    4.47,    7.17, 1203.80,    3.14,    6.91,  223.60,    0.00,    0.00,    0.00,    0.00,    0.00,   18.52,  410.30
